County,Date,Status,Cases,Deaths,Cases.Cumulative,Deaths.Cumulative,Updated,Region,County.FIPS.Character,State.Name,State.FIPS.Character,State.Abb,pop2018,GrowthRate,Density,Detroit
Not Detroit,2020-03-01T00:00:00Z,Total,4,0,4,0,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-02T00:00:00Z,Total,2,1,6,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-03T00:00:00Z,Total,5,0,11,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-04T00:00:00Z,Total,5,0,16,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-05T00:00:00Z,Total,7,0,23,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-06T00:00:00Z,Total,9,0,32,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-07T00:00:00Z,Total,13,0,45,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-08T00:00:00Z,Total,15,0,60,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-09T00:00:00Z,Total,26,0,86,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-10T00:00:00Z,Total,32,0,118,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-11T00:00:00Z,Total,34,0,152,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-12T00:00:00Z,Total,49,0,201,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-13T00:00:00Z,Total,78,0,279,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-14T00:00:00Z,Total,79,0,358,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-15T00:00:00Z,Total,102,0,460,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-16T00:00:00Z,Total,166,0,626,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-17T00:00:00Z,Total,174,0,800,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-18T00:00:00Z,Total,182,0,982,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-19T00:00:00Z,Total,156,0,1138,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-20T00:00:00Z,Total,222,0,1360,1,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-21T00:00:00Z,Total,176,2,1536,3,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-22T00:00:00Z,Total,183,2,1719,5,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-23T00:00:00Z,Total,281,4,2000,9,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-24T00:00:00Z,Total,236,3,2236,12,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-25T00:00:00Z,Total,246,2,2482,14,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-26T00:00:00Z,Total,255,7,2737,21,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-27T00:00:00Z,Total,286,4,3023,25,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-28T00:00:00Z,Total,204,8,3227,33,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-29T00:00:00Z,Total,223,3,3450,36,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
Not Detroit,2020-03-30T00:00:00Z,Total,300,10,3750,46,2021-12-29T14:11:47Z,26107,26107,michigan,26,MI,43545,1.6172,77.1,No
