"CTYNAME","pop2018","GrowthRate"
"Wayne County","1753890","-3.3755"
"Oakland County","1259200","4.6612"
"Macomb County","874759","3.9703"
"Kent County","653786","8.4253"
"Genesee County","406892","-4.2497"
"Washtenaw County","370963","7.3208"
"Ingham County","292735","4.1347"
"Ottawa County","290494","9.9844"
"Kalamazoo County","264870","5.6328"
"Livingston County","191224","5.6113"
"Saginaw County","190800","-4.5341"
"Muskegon County","173588","0.9755"
"St. Clair County","159337","-2.0628"
"Jackson County","158823","-0.8131"
"Berrien County","154141","-1.6594"
"Monroe County","150439","-0.9820"
"Calhoun County","134487","-1.0776"
"Allegan County","117327","5.1996"
"Eaton County","109826","1.9229"
"Bay County","103923","-3.4899"
"Lenawee County","98266","-1.3740"
"Grand Traverse County","92573","6.4412"
"Lapeer County","88028","-0.2018"
"Midland County","83209","-0.5367"
"Clinton County","79332","5.2065"
"Van Buren County","75448","-0.9180"
"Isabella County","70562","0.3827"
"Shiawassee County","68192","-3.4491"
"Marquette County","66516","-0.8378"
"Ionia County","64210","0.5764"
"Montcalm County","63968","1.0282"
"Barry County","61157","3.4910"
"St. Joseph County","61043","-0.3916"
"Tuscola County","52516","-5.7282"
"Cass County","51653","-1.1331"
"Newaygo County","48892","1.0666"
"Hillsdale County","45749","-1.9146"
"Branch County","43622","-3.4484"
"Mecosta County","43545","1.6172"
"Sanilac County","41182","-4.4080"
"Gratiot County","40599","-4.3176"
"Chippewa County","37517","-2.8334"
"Houghton County","36219","-1.3912"
"Delta County","35857","-3.2174"
"Wexford County","33466","2.2143"
"Emmet County","33308","2.0184"
"Huron County","31166","-5.7945"
"Clare County","30757","-0.7967"
"Mason County","29100","1.3231"
"Alpena County","28360","-3.9198"
"Oceana County","26625","0.4603"
"Charlevoix County","26244","1.1875"
"Cheboygan County","25413","-2.4902"
"Dickinson County","25383","-2.9628"
"Gladwin County","25337","-1.5312"
"Iosco County","25081","-2.9148"
"Otsego County","24665","2.1367"
"Manistee County","24528","-0.2400"
"Roscommon County","23884","-2.2790"
"Antrim County","23365","-0.5237"
"Osceola County","23341","-0.6935"
"Menominee County","22983","-4.1096"
"Leelanau County","21764","0.1934"
"Ogemaw County","20952","-3.0718"
"Kalkaska County","17824","3.9725"
"Benzie County","17753","1.4052"
"Missaukee County","15113","2.0046"
"Gogebic County","15096","-7.9288"
"Arenac County","15041","-5.0861"
"Crawford County","13901","-1.0887"
"Presque Isle County","12738","-4.3191"
"Lake County","11881","3.2143"
"Iron County","11117","-5.8599"
"Mackinac County","10787","-2.9160"
"Alcona County","10362","-4.7348"
"Montmorency County","9265","-5.2368"
"Alger County","9097","-5.0318"
"Baraga County","8320","-6.1054"
"Oscoda County","8276","-3.7563"
"Schoolcraft County","8068","-4.7462"
"Luce County","6283","-4.7886"
"Ontonagon County","5795","-14.4776"
"Keweenaw County","2113","-2.5818"
